,gbt_prob_default,lr_prob_default,lgd,loan_amnt
280,5.36E-02,1.76E-01,0.2,15000
281,9.94E-01,4.94E-01,0.2,8800
282,8.80E-03,2.78E-02,0.2,12000
283,2.49E-05,9.19E-02,0.2,7000
284,1.00E+00,5.35E-01,0.2,7000
285,2.37E-03,3.90E-02,0.2,10000
286,1.66E-01,1.56E-01,0.2,15000
287,3.45E-03,9.15E-02,0.2,5000
288,4.37E-03,2.48E-01,0.2,10000
289,3.66E-01,4.25E-01,0.2,7000
290,1.78E-02,6.76E-02,0.2,6000
291,8.92E-04,1.95E-02,0.2,4800
292,2.33E-02,2.37E-02,0.2,4800
293,1.60E-02,4.12E-01,0.2,2100
294,1.94E-03,6.08E-07,0.2,5875
295,1.02E-01,2.60E-01,0.2,1500
296,1.46E-04,2.31E-01,0.2,4000
297,3.68E-04,1.81E-01,0.2,9000
298,1.33E-04,3.38E-01,0.2,6000
299,1.28E-01,7.77E-02,0.2,4000
300,4.21E-03,1.12E-01,0.2,8400
301,6.37E-01,4.06E-01,0.2,9600
302,1.67E-03,3.33E-01,0.2,10000
303,1.19E-03,6.77E-02,0.2,4500
304,9.54E-01,4.36E-01,0.2,10825
305,9.63E-01,3.72E-01,0.2,31050
306,1.00E+00,5.44E-01,0.2,10750
307,2.37E-03,1.79E-01,0.2,4200
308,2.32E-01,5.98E-02,0.2,15000
309,2.18E-01,2.80E-01,0.2,2000
310,2.69E-03,2.59E-01,0.2,6000
311,9.90E-01,4.33E-01,0.2,14500
312,2.31E-02,6.98E-02,0.2,12000
313,9.71E-01,3.83E-01,0.2,5000
314,1.35E-01,3.63E-01,0.2,10600
315,1.66E-03,4.40E-01,0.2,24250
316,7.72E-04,6.66E-01,0.2,17875
317,4.36E-01,3.02E-01,0.2,5000
318,1.21E-03,2.24E-01,0.2,15000
319,9.74E-02,4.05E-01,0.2,10000
320,2.49E-02,1.39E-01,0.2,7500
321,1.93E-03,2.54E-01,0.2,5000
322,5.70E-03,2.98E-01,0.2,9000
323,5.49E-04,1.80E-01,0.2,14125
324,2.02E-03,1.21E-01,0.2,6000
325,8.03E-02,4.25E-01,0.2,5000
326,9.96E-01,4.14E-01,0.2,4000
327,5.96E-01,2.28E-01,0.2,9000
328,1.75E-03,2.67E-01,0.2,6400
329,1.60E-01,2.83E-01,0.2,3000
330,2.45E-04,5.82E-02,0.2,6000
331,8.29E-02,1.63E-01,0.2,9600
332,9.99E-01,4.88E-01,0.2,20000
333,1.00E+00,4.66E-01,0.2,2500
334,2.67E-02,1.72E-01,0.2,14000
335,9.95E-01,4.20E-01,0.2,14000
336,9.85E-01,4.41E-01,0.2,5000
337,1.58E-01,4.70E-02,0.2,3500
338,2.43E-03,3.83E-01,0.2,5000
339,2.37E-01,3.61E-02,0.2,10000
340,1.42E-01,2.11E-04,0.2,7500
341,1.42E-01,3.33E-01,0.2,13750
342,4.90E-02,7.83E-02,0.2,9000
343,4.09E-05,2.64E-01,0.2,3600
344,1.63E-03,7.02E-02,0.2,6000
345,2.60E-01,3.87E-01,0.2,2500
346,2.06E-02,7.77E-02,0.2,4000
347,1.17E-03,3.90E-02,0.2,21000
348,2.06E-02,1.52E-01,0.2,16000
349,9.83E-01,3.87E-01,0.2,2500
350,4.51E-03,3.11E-05,0.2,16000
351,3.22E-02,2.19E-02,0.2,12000
352,9.97E-01,3.47E-01,0.2,6925
353,1.23E-03,4.96E-02,0.2,12000
354,1.89E-03,2.05E-01,0.2,10000
355,8.22E-02,1.28E-01,0.2,8500
356,4.90E-03,1.04E-01,0.2,10000
357,9.98E-01,4.79E-01,0.2,3000
358,5.92E-03,1.74E-01,0.2,10000
359,1.92E-02,2.64E-01,0.2,15000
360,2.59E-02,2.23E-01,0.2,1500
361,9.98E-01,4.55E-01,0.2,5000
362,7.39E-02,3.95E-01,0.2,12800
363,1.44E-01,1.62E-01,0.2,8000
364,4.27E-02,2.24E-01,0.2,8000
365,1.50E-02,7.24E-02,0.2,12000
366,5.52E-02,3.23E-01,0.2,15000
367,5.55E-02,9.50E-02,0.2,7200
368,7.85E-02,1.76E-01,0.2,5000
369,1.74E-01,2.49E-01,0.2,16500
370,9.99E-01,2.75E-01,0.2,2600
371,6.56E-04,8.92E-02,0.2,23600
372,9.10E-01,1.07E-01,0.2,10000
373,1.01E-02,2.38E-01,0.2,8000
374,9.84E-01,5.77E-01,0.2,14300
375,1.20E-02,2.38E-01,0.2,4200
376,9.67E-03,1.85E-01,0.2,5000
377,1.40E-05,6.98E-02,0.2,12000
378,1.37E-03,1.81E-01,0.2,7000
379,9.94E-01,5.14E-01,0.2,9600
380,1.76E-04,2.78E-01,0.2,5550
381,4.39E-01,3.80E-01,0.2,7500
382,1.23E-01,2.74E-01,0.2,6000
383,3.01E-02,1.61E-01,0.2,5275
384,2.99E-02,1.76E-01,0.2,12000
385,9.98E-01,4.67E-01,0.2,3650
386,4.85E-02,7.70E-02,0.2,5425
387,1.31E-03,2.42E-01,0.2,1000
388,5.97E-02,7.67E-02,0.2,5000
389,2.39E-02,3.52E-01,0.2,4800
390,4.28E-01,3.74E-01,0.2,10000
391,2.31E-01,3.16E-01,0.2,20000
392,1.80E-03,2.87E-02,0.2,4000
393,9.49E-04,4.28E-01,0.2,10000
394,2.88E-02,3.69E-01,0.2,12000
395,2.28E-02,3.19E-01,0.2,8000
396,8.03E-03,1.66E-01,0.2,4500
397,2.36E-02,3.36E-01,0.2,10000
398,1.26E-03,2.56E-03,0.2,4800
399,4.34E-02,4.09E-01,0.2,4100
400,3.66E-02,1.66E-01,0.2,6000
401,1.94E-02,1.43E-01,0.2,6350
402,1.91E-01,3.48E-01,0.2,5000
403,2.58E-03,3.67E-03,0.2,6000
404,5.86E-02,2.88E-01,0.2,9000
405,4.09E-01,3.02E-01,0.2,6900
406,2.50E-02,1.98E-01,0.2,2000
407,8.32E-04,2.17E-02,0.2,21000
408,6.55E-01,6.05E-01,0.2,25000
409,5.22E-02,2.50E-01,0.2,13000
410,2.50E-01,2.91E-01,0.2,3000
411,2.00E-02,2.76E-01,0.2,25000
412,3.51E-02,4.28E-01,0.2,20000
413,9.96E-01,4.70E-01,0.2,12500
414,3.23E-02,8.86E-02,0.2,1600
415,9.70E-03,1.28E-02,0.2,4600
416,4.12E-04,4.28E-01,0.2,20000
417,2.01E-01,4.22E-01,0.2,15000
418,1.12E-01,2.37E-01,0.2,7200
419,7.87E-03,6.26E-02,0.2,20000
420,4.19E-02,9.41E-02,0.2,10000
421,4.77E-05,1.20E-01,0.2,7000
422,1.31E-03,5.10E-03,0.2,7200
423,6.92E-04,1.71E-01,0.2,23800
424,4.13E-02,1.66E-01,0.2,3000
425,1.05E-01,2.67E-01,0.2,17000
426,1.41E-02,3.23E-02,0.2,4000
427,9.98E-01,4.54E-01,0.2,8500
428,5.04E-02,3.02E-01,0.2,15600
429,6.60E-02,2.54E-01,0.2,1600
430,9.98E-01,1.62E-01,0.2,5000
431,1.56E-02,2.69E-02,0.2,10000
432,1.51E-02,1.48E-01,0.2,2500
433,1.59E-01,4.84E-01,0.2,35000
434,7.13E-02,8.03E-02,0.2,7750
435,9.97E-01,3.25E-01,0.2,6000
436,1.25E-02,3.42E-01,0.2,9000
437,2.43E-03,5.75E-02,0.2,4000
438,1.39E-01,2.23E-01,0.2,1300
439,7.08E-05,1.74E-01,0.2,10000
440,5.66E-01,4.34E-01,0.2,10000
441,2.25E-03,1.62E-01,0.2,5400
442,9.39E-01,1.29E-01,0.2,16800
443,1.00E+00,4.66E-01,0.2,6000
444,1.05E-01,1.77E-01,0.2,10000
445,9.76E-01,3.00E-01,0.2,12500
446,1.72E-03,1.14E-01,0.2,11000
447,3.11E-01,3.63E-01,0.2,2000
448,9.59E-02,2.26E-01,0.2,10000
449,4.97E-05,2.90E-01,0.2,7500
450,3.19E-02,3.03E-01,0.2,9400
451,7.52E-02,2.48E-01,0.2,5000
452,3.05E-03,2.96E-01,0.2,7775
453,1.88E-04,3.97E-01,0.2,15000
454,4.98E-02,3.05E-01,0.2,15000
455,4.04E-03,4.62E-02,0.2,2500
456,6.42E-03,1.11E-02,0.2,12000
457,6.44E-03,3.75E-01,0.2,2000
458,7.02E-02,1.11E-02,0.2,8000
459,2.66E-03,2.85E-01,0.2,6500
460,2.10E-04,1.68E-01,0.2,9600
461,9.83E-03,4.14E-02,0.2,14000
462,2.52E-02,1.59E-02,0.2,18000
463,2.26E-02,3.75E-01,0.2,14500
464,9.93E-01,1.18E-03,0.2,9000
465,2.35E-02,9.13E-03,0.2,15000
466,9.70E-01,2.48E-01,0.2,10000
467,2.40E-03,2.04E-01,0.2,5000
468,3.75E-06,1.04E-01,0.2,10000
469,1.43E-02,1.55E-01,0.2,6000
470,6.33E-02,6.73E-02,0.2,8000
471,7.90E-02,1.30E-01,0.2,7500
472,2.42E-02,4.05E-01,0.2,10400
473,1.64E-04,1.04E-01,0.2,10000
474,1.68E-01,3.36E-01,0.2,4975
475,2.60E-02,2.60E-01,0.2,7200
476,4.01E-01,4.40E-01,0.2,10000
477,3.71E-02,2.19E-01,0.2,7000
478,4.58E-02,2.01E-01,0.2,12000
479,2.43E-04,5.78E-01,0.2,20000
480,2.11E-02,9.13E-02,0.2,3000
481,3.06E-02,9.25E-02,0.2,2000
482,9.71E-01,3.09E-01,0.2,1500
483,2.35E-02,1.69E-01,0.2,6200
484,3.12E-02,2.85E-01,0.2,15000
485,2.88E-02,7.52E-02,0.2,4800
486,1.12E-01,2.96E-01,0.2,21000
487,3.22E-02,7.09E-02,0.2,4200
488,6.25E-02,2.23E-01,0.2,1000
489,9.98E-01,6.69E-01,0.2,20000
490,4.19E-03,2.69E-01,0.2,8400
491,2.80E-01,5.95E-01,0.2,15000
492,1.10E-01,4.77E-01,0.2,12000
493,9.55E-04,2.56E-01,0.2,7000
494,1.30E-03,3.01E-01,0.2,4800
495,9.52E-01,3.37E-01,0.2,5000
496,1.73E-02,2.95E-01,0.2,10000
497,9.97E-01,4.74E-01,0.2,10000
498,1.82E-03,1.96E-01,0.2,4000
499,2.03E-02,3.00E-01,0.2,7200
500,1.49E-03,6.85E-03,0.2,10000
501,2.26E-01,7.67E-02,0.2,5000
502,9.79E-01,4.22E-01,0.2,5000
503,9.23E-02,1.66E-01,0.2,6000
504,4.05E-03,2.20E-01,0.2,4000
505,9.96E-01,5.23E-01,0.2,16000
506,1.49E-02,5.48E-03,0.2,6000
507,4.82E-04,7.89E-02,0.2,9075
508,2.45E-02,7.81E-02,0.2,5000
509,2.16E-01,1.52E-01,0.2,5050
510,1.87E-04,1.11E-02,0.2,7000
511,3.54E-03,1.34E-01,0.2,12000
512,1.34E-02,5.72E-02,0.2,10000
513,1.00E+00,4.57E-01,0.2,16950
514,2.35E-01,4.12E-01,0.2,8000
515,6.87E-02,1.50E-01,0.2,1300
516,2.26E-01,3.85E-01,0.2,10000
517,1.08E-01,4.12E-01,0.2,6500
518,5.83E-02,2.35E-02,0.2,35000
519,9.46E-02,1.80E-01,0.2,14500
520,6.26E-03,3.20E-01,0.2,7500
521,1.05E-01,2.69E-01,0.2,8000
522,8.17E-03,2.83E-01,0.2,14000
523,9.97E-01,4.16E-01,0.2,8000
524,1.55E-02,3.23E-02,0.2,4000
525,8.66E-02,3.82E-01,0.2,10000
526,4.29E-03,2.87E-01,0.2,35000
527,1.21E-04,9.35E-02,0.2,15000
528,9.95E-01,5.70E-01,0.2,14000
529,2.38E-01,3.05E-01,0.2,7200
530,1.86E-02,1.34E-01,0.2,4000
531,1.69E-01,2.38E-01,0.2,10250
532,3.89E-02,3.69E-01,0.2,4000
533,2.01E-01,4.63E-01,0.2,11850
534,5.55E-02,2.32E-01,0.2,7000
535,2.71E-03,1.46E-01,0.2,8000
536,7.77E-01,3.40E-01,0.2,2400
537,9.94E-01,5.11E-01,0.2,14500
538,1.90E-01,4.68E-01,0.2,12000
539,1.51E-01,3.85E-01,0.2,11500
540,9.79E-03,1.71E-01,0.2,6000
541,5.82E-04,3.10E-01,0.2,7000
542,9.10E-01,2.43E-01,0.2,2000
543,9.96E-01,3.37E-01,0.2,1625
544,3.39E-02,1.67E-02,0.2,9000
545,1.17E-03,4.16E-01,0.2,4375
546,1.95E-02,5.42E-02,0.2,7200
547,4.45E-02,1.52E-01,0.2,20000
548,1.91E-02,2.85E-01,0.2,12000
549,7.80E-02,3.10E-01,0.2,11400
550,1.18E-01,1.24E-01,0.2,6600
551,2.21E-02,3.75E-02,0.2,21000
552,1.03E-02,6.97E-02,0.2,13500
553,9.87E-04,1.83E-01,0.2,8650
554,3.54E-02,1.48E-01,0.2,15000
555,9.87E-01,1.56E-01,0.2,25000
556,9.97E-01,2.89E-01,0.2,12000
557,9.81E-01,3.56E-01,0.2,3500
558,2.83E-02,1.33E-01,0.2,7000
559,6.00E-02,2.37E-01,0.2,7200
560,1.35E-02,4.65E-02,0.2,14000
561,5.38E-01,4.70E-01,0.2,25000
562,1.76E-02,3.33E-01,0.2,8000
563,2.81E-02,6.29E-02,0.2,3000
564,1.37E-04,4.58E-02,0.2,15000
565,5.56E-01,2.39E-01,0.2,2000
566,9.43E-01,2.88E-01,0.2,15000
567,5.88E-01,2.74E-01,0.2,15000
568,1.64E-02,1.08E-01,0.2,3600
569,1.36E-01,3.61E-01,0.2,6000
570,9.83E-01,4.63E-01,0.2,16800
571,9.41E-04,6.59E-01,0.2,29800
572,2.64E-03,7.75E-02,0.2,7000
573,1.15E-02,1.41E-01,0.2,3100
574,9.97E-01,4.23E-01,0.2,2000
575,1.90E-02,4.20E-01,0.2,1500
576,9.78E-01,3.96E-01,0.2,7000
577,4.54E-02,3.36E-01,0.2,3000
578,2.62E-01,4.16E-01,0.2,15000
579,1.00E+00,5.11E-01,0.2,24250
580,9.94E-01,4.73E-01,0.2,13000
581,1.37E-02,1.54E-01,0.2,4800
582,2.05E-03,5.42E-01,0.2,12200
583,7.53E-06,3.07E-01,0.2,7500
584,7.05E-02,4.55E-01,0.2,18000
585,1.20E-01,3.94E-01,0.2,8250
586,1.40E-02,2.42E-01,0.2,12000
587,2.96E-05,4.17E-01,0.2,12000
588,1.65E-02,8.72E-02,0.2,12000
589,2.05E-04,3.71E-01,0.2,10000
590,3.10E-02,2.23E-01,0.2,11000
591,2.81E-02,3.66E-01,0.2,10000
592,3.61E-03,6.02E-02,0.2,9000
593,3.38E-01,1.76E-01,0.2,15000
594,5.82E-01,4.57E-01,0.2,9000
595,3.77E-02,5.32E-02,0.2,7000
596,1.04E-01,2.75E-01,0.2,3000
597,2.00E-02,2.66E-01,0.2,6000
598,6.49E-02,4.14E-01,0.2,24000
599,1.13E-02,1.23E-01,0.2,13000
600,8.80E-04,3.75E-02,0.2,3000
601,3.60E-02,2.29E-01,0.2,2000
602,9.70E-01,4.30E-01,0.2,2800
603,3.46E-02,2.77E-01,0.2,10800
604,9.48E-02,2.71E-03,0.2,16000
605,4.80E-01,2.48E-01,0.2,10000
